gene	gf4.bam
ENSMUSG00000001909	893
ENSMUSG00000001910	2784
ENSMUSG00000001911	3518
ENSMUSG00000001918	46
ENSMUSG00000001924	8305
ENSMUSG00000001930	308
ENSMUSG00000001942	530
ENSMUSG00000001943	380
ENSMUSG00000001946	356
ENSMUSG00000001948	64
ENSMUSG00000001962	483
ENSMUSG00000001964	746
ENSMUSG00000001983	248
ENSMUSG00000001985	2616
ENSMUSG00000001986	6982
ENSMUSG00000001988	253
ENSMUSG00000001995	1115
ENSMUSG00000001998	167
ENSMUSG00000001999	258
ENSMUSG00000002006	2769
ENSMUSG00000002007	77
ENSMUSG00000002010	3010
ENSMUSG00000002012	922
ENSMUSG00000002014	695
ENSMUSG00000002015	1203
ENSMUSG00000002017	1479
ENSMUSG00000002020	17
ENSMUSG00000002028	2488
ENSMUSG00000002031	985
ENSMUSG00000002032	862
ENSMUSG00000002033	2
ENSMUSG00000002043	99
ENSMUSG00000002052	4257
ENSMUSG00000002055	169
ENSMUSG00000002057	1
ENSMUSG00000002058	604
ENSMUSG00000002059	176
ENSMUSG00000002064	811
ENSMUSG00000002068	349
ENSMUSG00000002076	11
ENSMUSG00000002083	86
ENSMUSG00000002100	38
ENSMUSG00000002102	3623
ENSMUSG00000002103	1445
ENSMUSG00000002104	10
ENSMUSG00000002105	346
ENSMUSG00000002107	6502
ENSMUSG00000002108	37
ENSMUSG00000002109	130
ENSMUSG00000002111	51
ENSMUSG00000002129	1650
ENSMUSG00000002147	285
ENSMUSG00000002190	311
ENSMUSG00000002204	21
ENSMUSG00000002205	428
ENSMUSG00000002210	599
ENSMUSG00000002221	1102
ENSMUSG00000002222	2728
ENSMUSG00000002227	101
ENSMUSG00000002228	9
ENSMUSG00000002233	328
ENSMUSG00000002240	0
ENSMUSG00000002249	48
ENSMUSG00000002250	525
ENSMUSG00000002257	49
ENSMUSG00000002265	5690
ENSMUSG00000002266	65
ENSMUSG00000002274	395
ENSMUSG00000002279	275
ENSMUSG00000002280	538
ENSMUSG00000002289	31
ENSMUSG00000002297	42
ENSMUSG00000002307	354
ENSMUSG00000002308	232
ENSMUSG00000002319	1540
ENSMUSG00000002320	389
ENSMUSG00000002324	2
ENSMUSG00000002325	175
ENSMUSG00000002326	438
ENSMUSG00000002329	947
ENSMUSG00000002332	1458
ENSMUSG00000002341	5014
ENSMUSG00000002342	504
ENSMUSG00000002343	495
ENSMUSG00000002345	421
ENSMUSG00000002346	547
ENSMUSG00000002365	154
ENSMUSG00000002372	1563
ENSMUSG00000002379	1252
ENSMUSG00000002384	3
ENSMUSG00000002393	152
ENSMUSG00000002395	903
ENSMUSG00000002396	315
ENSMUSG00000002409	360
ENSMUSG00000002413	2694
ENSMUSG00000002416	819
ENSMUSG00000002428	473
ENSMUSG00000002455	1467
ENSMUSG00000002458	474
ENSMUSG00000002459	684
ENSMUSG00000002475	886
ENSMUSG00000002477	563
ENSMUSG00000002486	185
ENSMUSG00000002489	1427
ENSMUSG00000002496	1992
ENSMUSG00000002500	5
ENSMUSG00000002504	810
ENSMUSG00000002524	2754
ENSMUSG00000002546	2599
ENSMUSG00000002550	488
ENSMUSG00000002565	0
ENSMUSG00000002578	288
ENSMUSG00000002580	1273
ENSMUSG00000002588	1
ENSMUSG00000002602	1024
ENSMUSG00000002603	117
ENSMUSG00000002608	1029
ENSMUSG00000002617	290
ENSMUSG00000002625	1859
ENSMUSG00000002633	21
ENSMUSG00000002635	205
ENSMUSG00000002658	1881
ENSMUSG00000002660	713
ENSMUSG00000002661	131
ENSMUSG00000002664	3
ENSMUSG00000002668	27
ENSMUSG00000002679	347
ENSMUSG00000002688	165
ENSMUSG00000002699	46
ENSMUSG00000002718	1600
ENSMUSG00000002728	777
ENSMUSG00000002731	311
ENSMUSG00000002732	56
ENSMUSG00000002733	763
ENSMUSG00000002741	2311
ENSMUSG00000002748	2475
ENSMUSG00000002763	1078
ENSMUSG00000002767	540
ENSMUSG00000002768	1931
